minute,txn_count,decline_rate,unique_devices,unique_card_bins,avg_amount,attack_txn_count,txn_count_zscore_60min,merchant_id
2026-01-01 00:07:00,1,0.0,1,1,840.02,0,0.0,merch_0000
2026-01-01 00:08:00,0,0.0,0,0,0.0,0,0.0,merch_0000
2026-01-01 00:09:00,0,0.0,0,0,0.0,0,-0.7071067811865475,merch_0000
2026-01-01 00:10:00,0,0.0,0,0,0.0,0,-0.5773502691896256,merch_0000
2026-01-01 00:11:00,0,0.0,0,0,0.0,0,-0.5,merch_0000
2026-01-01 00:12:00,0,0.0,0,0,0.0,0,-0.4472135954999579,merch_0000
2026-01-01 00:13:00,0,0.0,0,0,0.0,0,-0.408248290463863,merch_0000
2026-01-01 00:14:00,0,0.0,0,0,0.0,0,-0.3779644730092272,merch_0000
2026-01-01 00:15:00,0,0.0,0,0,0.0,0,-0.35355339059327373,merch_0000
2026-01-01 00:16:00,0,0.0,0,0,0.0,0,-0.33333333333333326,merch_0000
2026-01-01 00:17:00,0,0.0,0,0,0.0,0,-0.31622776601683794,merch_0000
2026-01-01 00:18:00,0,0.0,0,0,0.0,0,-0.30151134457776363,merch_0000
2026-01-01 00:19:00,0,0.0,0,0,0.0,0,-0.2886751345948128,merch_0000
2026-01-01 00:20:00,0,0.0,0,0,0.0,0,-0.2773500981126146,merch_0000
2026-01-01 00:21:00,0,0.0,0,0,0.0,0,-0.26726124191242434,merch_0000
2026-01-01 00:22:00,0,0.0,0,0,0.0,0,-0.25819888974716115,merch_0000
2026-01-01 00:23:00,0,0.0,0,0,0.0,0,-0.25,merch_0000
2026-01-01 00:24:00,0,0.0,0,0,0.0,0,-0.24253562503633297,merch_0000
2026-01-01 00:25:00,0,0.0,0,0,0.0,0,-0.23570226039551584,merch_0000
2026-01-01 00:26:00,0,0.0,0,0,0.0,0,-0.22941573387056174,merch_0000
2026-01-01 00:27:00,0,0.0,0,0,0.0,0,-0.223606797749979,merch_0000
2026-01-01 00:28:00,0,0.0,0,0,0.0,0,-0.2182178902359924,merch_0000
2026-01-01 00:29:00,0,0.0,0,0,0.0,0,-0.21320071635561047,merch_0000
2026-01-01 00:30:00,0,0.0,0,0,0.0,0,-0.20851441405707474,merch_0000
2026-01-01 00:31:00,0,0.0,0,0,0.0,0,-0.2041241452319315,merch_0000
2026-01-01 00:32:00,0,0.0,0,0,0.0,0,-0.19999999999999998,merch_0000
2026-01-01 00:33:00,0,0.0,0,0,0.0,0,-0.19611613513818404,merch_0000
2026-01-01 00:34:00,0,0.0,0,0,0.0,0,-0.19245008972987523,merch_0000
2026-01-01 00:35:00,0,0.0,0,0,0.0,0,-0.18898223650461363,merch_0000
2026-01-01 00:36:00,0,0.0,0,0,0.0,0,-0.18569533817705186,merch_0000
2026-01-01 00:37:00,0,0.0,0,0,0.0,0,-0.18257418583505539,merch_0000
2026-01-01 00:38:00,0,0.0,0,0,0.0,0,-0.17960530202677488,merch_0000
2026-01-01 00:39:00,0,0.0,0,0,0.0,0,-0.1767766952966369,merch_0000
2026-01-01 00:40:00,0,0.0,0,0,0.0,0,-0.17407765595569785,merch_0000
2026-01-01 00:41:00,0,0.0,0,0,0.0,0,-0.17149858514250885,merch_0000
2026-01-01 00:42:00,0,0.0,0,0,0.0,0,-0.16903085094570333,merch_0000
2026-01-01 00:43:00,0,0.0,0,0,0.0,0,-0.16666666666666666,merch_0000
2026-01-01 00:44:00,0,0.0,0,0,0.0,0,-0.16439898730535732,merch_0000
2026-01-01 00:45:00,0,0.0,0,0,0.0,0,-0.16222142113076254,merch_0000
2026-01-01 00:46:00,0,0.0,0,0,0.0,0,-0.16012815380508716,merch_0000
2026-01-01 00:47:00,0,0.0,0,0,0.0,0,-0.158113883008419,merch_0000
2026-01-01 00:48:00,0,0.0,0,0,0.0,0,-0.1561737618886061,merch_0000
2026-01-01 00:49:00,0,0.0,0,0,0.0,0,-0.15430334996209194,merch_0000
2026-01-01 00:50:00,0,0.0,0,0,0.0,0,-0.1524985703326047,merch_0000
2026-01-01 00:51:00,0,0.0,0,0,0.0,0,-0.15075567228888184,merch_0000
2026-01-01 00:52:00,0,0.0,0,0,0.0,0,-0.149071198499986,merch_0000
2026-01-01 00:53:00,0,0.0,0,0,0.0,0,-0.14744195615489716,merch_0000
2026-01-01 00:54:00,0,0.0,0,0,0.0,0,-0.14586499149789459,merch_0000
2026-01-01 00:55:00,0,0.0,0,0,0.0,0,-0.14433756729740646,merch_0000
2026-01-01 00:56:00,0,0.0,0,0,0.0,0,-0.14285714285714288,merch_0000
2026-01-01 00:57:00,0,0.0,0,0,0.0,0,-0.14142135623730953,merch_0000
2026-01-01 00:58:00,0,0.0,0,0,0.0,0,-0.14002800840280102,merch_0000
2026-01-01 00:59:00,0,0.0,0,0,0.0,0,-0.13867504905630731,merch_0000
2026-01-01 01:00:00,0,0.0,0,0,0.0,0,-0.13736056394868904,merch_0000
2026-01-01 01:01:00,0,0.0,0,0,0.0,0,-0.13608276348795437,merch_0000
2026-01-01 01:02:00,0,0.0,0,0,0.0,0,-0.13483997249264842,merch_0000
2026-01-01 01:03:00,0,0.0,0,0,0.0,0,-0.1336306209562122,merch_0000
2026-01-01 01:04:00,0,0.0,0,0,0.0,0,-0.13245323570650439,merch_0000
2026-01-01 01:05:00,0,0.0,0,0,0.0,0,-0.1313064328597226,merch_0000
2026-01-01 01:06:00,1,0.0,1,0,726.35,0,7.550956836887787,merch_0000
2026-01-01 01:07:00,0,0.0,0,0,0.0,0,-0.18414137497317515,merch_0000
2026-01-01 01:08:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:09:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:10:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:11:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:12:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:13:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:14:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:15:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:16:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:17:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:18:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:19:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:20:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:21:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:22:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:23:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:24:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:25:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:26:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:27:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:28:00,0,0.0,0,0,0.0,0,-0.12909944487358058,merch_0000
2026-01-01 01:29:00,1,0.0,1,1,173.37,0,7.616867247541253,merch_0000
2026-01-01 01:30:00,0,0.0,0,0,0.0,0,-0.18414137497317515,merch_0000
2026-01-01 01:31:00,1,0.0,1,1,701.05,0,5.340099874222079,merch_0000
2026-01-01 01:32:00,0,0.0,0,0,0.0,0,-0.22749590318269972,merch_0000
2026-01-01 01:33:00,0,0.0,0,0,0.0,0,-0.22749590318269972,merch_0000
2026-01-01 01:34:00,0,0.0,0,0,0.0,0,-0.22749590318269972,merch_0000
2026-01-01 01:35:00,0,0.0,0,0,0.0,0,-0.22749590318269972,merch_0000
2026-01-01 01:36:00,0,0.0,0,0,0.0,0,-0.22749590318269972,merch_0000
2026-01-01 01:37:00,0,0.0,0,0,0.0,0,-0.22749590318269972,merch_0000
2026-01-01 01:38:00,0,0.0,0,0,0.0,0,-0.22749590318269972,merch_0000
2026-01-01 01:39:00,0,0.0,0,0,0.0,0,-0.22749590318269972,merch_0000
2026-01-01 01:40:00,0,0.0,0,0,0.0,0,-0.22749590318269972,merch_0000
2026-01-01 01:41:00,1,0.0,1,1,549.47,0,4.3224221604712945,merch_0000
2026-01-01 01:42:00,0,0.0,0,0,0.0,0,-0.26502470684465484,merch_0000
2026-01-01 01:43:00,0,0.0,0,0,0.0,0,-0.26502470684465484,merch_0000
2026-01-01 01:44:00,1,0.0,1,1,997.59,0,3.710345895825168,merch_0000
2026-01-01 01:45:00,0,0.0,0,0,0.0,0,-0.29898819273332417,merch_0000
2026-01-01 01:46:00,0,0.0,0,0,0.0,0,-0.29898819273332417,merch_0000
2026-01-01 01:47:00,0,0.0,0,0,0.0,0,-0.29898819273332417,merch_0000
2026-01-01 01:48:00,0,0.0,0,0,0.0,0,-0.29898819273332417,merch_0000
2026-01-01 01:49:00,0,0.0,0,0,0.0,0,-0.29898819273332417,merch_0000
2026-01-01 01:50:00,0,0.0,0,0,0.0,0,-0.29898819273332417,merch_0000
2026-01-01 01:51:00,0,0.0,0,0,0.0,0,-0.29898819273332417,merch_0000
2026-01-01 01:52:00,1,0.0,1,1,714.71,0,3.2888701200665658,merch_0000
2026-01-01 01:53:00,0,0.0,0,0,0.0,0,-0.3305438840143004,merch_0000
2026-01-01 01:54:00,1,0.0,1,1,949.7,0,2.9748949561287037,merch_0000
2026-01-01 01:55:00,0,0.0,0,0,0.0,0,-0.3603806513070284,merch_0000
2026-01-01 01:56:00,0,0.0,0,0,0.0,0,-0.3603806513070284,merch_0000
2026-01-01 01:57:00,0,0.0,0,0,0.0,0,-0.3603806513070284,merch_0000
2026-01-01 01:58:00,0,0.0,0,0,0.0,0,-0.3603806513070284,merch_0000
2026-01-01 01:59:00,0,0.0,0,0,0.0,0,-0.3603806513070284,merch_0000
2026-01-01 02:00:00,0,0.0,0,0,0.0,0,-0.3603806513070284,merch_0000
2026-01-01 02:01:00,0,0.0,0,0,0.0,0,-0.3603806513070284,merch_0000
2026-01-01 02:02:00,1,0.0,1,1,2006.67,0,2.728596359896072,merch_0000
2026-01-01 02:03:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:04:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:05:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:06:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:07:00,1,1.0,1,0,631.04,0,2.728596359896072,merch_0000
2026-01-01 02:08:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:09:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:10:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:11:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:12:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:13:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:14:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:15:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:16:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:17:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:18:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:19:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:20:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:21:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:22:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:23:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:24:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:25:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:26:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:27:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
2026-01-01 02:28:00,0,0.0,0,0,0.0,0,-0.38894993415869256,merch_0000
